,公司代號,公司名稱,年份,數量
754,1447,力鵬,105,13
755,1447,力鵬,104,11
756,1447,力鵬,103,13
757,1447,力鵬,102,22
758,1447,力鵬,101,31
759,1447,力鵬,100,16
760,1449,佳和,109,48
761,1449,佳和,108,32
762,1449,佳和,107,22
763,1449,佳和,106,41
764,1449,佳和,105,35
765,1449,佳和,104,33
766,1449,佳和,103,44
767,1449,佳和,102,43
768,1449,佳和,101,22
769,1449,佳和,100,34
770,1451,年興,109,31
771,1451,年興,108,15
772,1451,年興,107,20
773,1451,年興,106,30
774,1451,年興,105,15
775,1451,年興,104,12
776,1451,年興,103,10
777,1451,年興,102,16
778,1451,年興,101,23
779,1451,年興,100,23
780,1452,宏益,109,6
781,1452,宏益,108,7
782,1452,宏益,107,11
783,1452,宏益,106,6
784,1452,宏益,105,7
785,1452,宏益,104,17
786,1452,宏益,103,7
787,1452,宏益,102,5
788,1452,宏益,101,11
789,1452,宏益,100,10
790,1453,大將,109,8
791,1453,大將,108,10
792,1453,大將,107,7
793,1453,大將,106,13
794,1453,大將,105,6
795,1453,大將,104,7
796,1453,大將,103,8
797,1453,大將,102,14
798,1453,大將,101,8
799,1453,大將,100,15
800,1454,台富,109,11
801,1454,台富,108,13
802,1454,台富,107,10
803,1454,台富,106,7
804,1454,台富,105,9
805,1454,台富,104,12
806,1454,台富,103,7
807,1454,台富,102,10
808,1454,台富,101,5
809,1454,台富,100,9
810,1455,集盛,109,14
811,1455,集盛,108,13
812,1455,集盛,107,5
813,1455,集盛,106,4
814,1455,集盛,105,10
815,1455,集盛,104,8
816,1455,集盛,103,11
817,1455,集盛,102,13
818,1455,集盛,101,13
819,1455,集盛,100,16
820,1456,怡華,109,23
821,1456,怡華,108,31
822,1456,怡華,107,22
823,1456,怡華,106,34
824,1456,怡華,105,28
825,1456,怡華,104,38
826,1456,怡華,103,34
827,1456,怡華,102,52
828,1456,怡華,101,59
829,1456,怡華,100,36
830,1457,宜進,109,16
831,1457,宜進,108,27
832,1457,宜進,107,20
833,1457,宜進,106,24
834,1457,宜進,105,12
835,1457,宜進,104,22
836,1457,宜進,103,13
837,1457,宜進,102,11
838,1457,宜進,101,14
839,1457,宜進,100,38
840,1459,聯發,109,9
841,1459,聯發,108,15
842,1459,聯發,107,21
843,1459,聯發,106,11
844,1459,聯發,105,11
845,1459,聯發,104,17
846,1459,聯發,103,9
847,1459,聯發,102,9
848,1459,聯發,101,13
849,1459,聯發,100,20
850,1460,宏遠,109,45
851,1460,宏遠,108,42
852,1460,宏遠,107,41
853,1460,宏遠,106,32
854,1460,宏遠,105,28
855,1460,宏遠,104,22
856,1460,宏遠,103,27
857,1460,宏遠,102,26
858,1460,宏遠,101,24
859,1460,宏遠,100,23
860,1463,強盛,109,12
861,1463,強盛,108,24
862,1463,強盛,107,18
863,1463,強盛,106,14
864,1463,強盛,105,26
865,1463,強盛,104,19
866,1463,強盛,103,19
867,1463,強盛,102,16
868,1463,強盛,101,9
869,1463,強盛,100,9
870,1464,得力,109,57
871,1464,得力,108,68
872,1464,得力,107,48
873,1464,得力,106,97
874,1464,得力,105,75
875,1464,得力,104,56
876,1464,得力,103,51
877,1464,得力,102,34
878,1464,得力,101,34
879,1464,得力,100,39
880,1465,偉全,109,14
881,1465,偉全,108,15
882,1465,偉全,107,19
883,1465,偉全,106,20
884,1465,偉全,105,13
885,1465,偉全,104,15
886,1465,偉全,103,27
887,1465,偉全,102,28
888,1465,偉全,101,24
889,1465,偉全,100,32
890,1466,聚隆,109,35
891,1466,聚隆,108,40
892,1466,聚隆,107,27
893,1466,聚隆,106,17
894,1466,聚隆,105,23
895,1466,聚隆,104,29
896,1466,聚隆,103,29
897,1466,聚隆,102,23
898,1466,聚隆,101,27
899,1466,聚隆,100,34
900,1467,南緯,109,24
901,1467,南緯,108,25
902,1467,南緯,107,36
903,1467,南緯,106,20
904,1467,南緯,105,16
905,1467,南緯,104,25
906,1467,南緯,103,27
907,1467,南緯,102,20
908,1467,南緯,101,26
909,1467,南緯,100,21
910,1468,昶和,109,19
911,1468,昶和,108,36
912,1468,昶和,107,29
913,1468,昶和,106,37
914,1468,昶和,105,26
915,1468,昶和,104,32
916,1468,昶和,103,28
917,1468,昶和,102,16
918,1468,昶和,101,11
919,1468,昶和,100,24
920,1470,大統新創,109,12
921,1470,大統新創,108,7
922,1470,大統新創,107,19
923,1470,大統新創,106,15
924,1470,大統新創,105,6
925,1470,大統新創,104,4
926,1470,大統新創,103,10
927,1470,大統新創,102,9
928,1470,大統新創,101,4
929,1470,大統新創,100,13
930,1471,首利,109,24
931,1471,首利,108,30
932,1471,首利,107,24
933,1471,首利,106,30
934,1471,首利,105,14
935,1471,首利,104,16
936,1471,首利,103,11
937,1471,首利,102,10
938,1471,首利,101,18
939,1471,首利,100,9
940,1472,三洋紡,109,46
941,1472,三洋紡,108,46
942,1472,三洋紡,107,35
943,1472,三洋紡,106,52
944,1472,三洋紡,105,54
945,1472,三洋紡,104,57
946,1472,三洋紡,103,50
947,1472,三洋紡,102,81
948,1472,三洋紡,101,76
949,1472,三洋紡,100,99
950,1473,台南,109,17
951,1473,台南,108,8
952,1473,台南,107,13
953,1473,台南,106,31
954,1473,台南,105,22
955,1473,台南,104,31
956,1473,台南,103,23
957,1473,台南,102,17
958,1473,台南,101,36
959,1473,台南,100,44
960,1474,弘裕,109,11
961,1474,弘裕,108,18
962,1474,弘裕,107,24
963,1474,弘裕,106,12
964,1474,弘裕,105,16
965,1474,弘裕,104,21
966,1474,弘裕,103,14
967,1474,弘裕,102,20
968,1474,弘裕,101,21
969,1474,弘裕,100,31
970,1475,本盟,109,0
971,1475,本盟,108,0
972,1475,本盟,107,0
973,1475,本盟,106,0
974,1475,本盟,105,0
975,1475,本盟,104,0
976,1475,本盟,103,0
977,1475,本盟,102,0
978,1475,本盟,101,0
979,1475,本盟,100,0
980,1476,儒鴻,109,13
981,1476,儒鴻,108,21
982,1476,儒鴻,107,24
983,1476,儒鴻,106,28
984,1476,儒鴻,105,33
985,1476,儒鴻,104,67
986,1476,儒鴻,103,45
987,1476,儒鴻,102,63
988,1476,儒鴻,101,52
989,1476,儒鴻,100,34
990,1477,聚陽,109,41
991,1477,聚陽,108,58
992,1477,聚陽,107,50
993,1477,聚陽,106,60
994,1477,聚陽,105,62
995,1477,聚陽,104,72
996,1477,聚陽,103,70
997,1477,聚陽,102,64
998,1477,聚陽,101,54
999,1477,聚陽,100,54
1000,1503,士電,109,17
1001,1503,士電,108,15
1002,1503,士電,107,16
1003,1503,士電,106,17
1004,1503,士電,105,12
1005,1503,士電,104,13
1006,1503,士電,103,19
1007,1503,士電,102,11
1008,1503,士電,101,14
1009,1503,士電,100,19
1010,1504,東元,109,27
1011,1504,東元,108,28
1012,1504,東元,107,29
1013,1504,東元,106,33
1014,1504,東元,105,33
1015,1504,東元,104,43
1016,1504,東元,103,38
1017,1504,東元,102,48
1018,1504,東元,101,44
1019,1504,東元,100,30
1020,1506,正道,109,39
1021,1506,正道,108,51
1022,1506,正道,107,36
1023,1506,正道,106,48
1024,1506,正道,105,55
1025,1506,正道,104,39
1026,1506,正道,103,41
